"variable","level","female","male","compare","missing_female","missing_male"
"age",NA,"40.5 (10.9)","45.5 (11.3)","0.829","0.0%","0.0%"
"bmi",NA,"27.1 (5.2)","25.1 (4.4)","0.217","5.1%","7.7%"
"waist_cm",NA,"85.1 (12.2)","90.4 (12.3)","0.221","2.0%","3.8%"
"smk_overall",NA,"121 (3.0%)","1496 (37.1%)","NA","0.0%","0.0%"
"alc_overall",NA,"8 (0.2%)","1592 (39.5%)","NA","0.0%","0.0%"
"famhx_htn",NA,"855 (21.5%)","737 (18.5%)","2.20 (1.84, 2.64)","1.2%","1.3%"
"famhx_dm",NA,"1203 (30.2%)","1119 (28.2%)","2.25 (1.93, 2.61)","1.1%","1.3%"
"famhx_cvd",NA,"325 (8.2%)","294 (7.4%)","2.25 (1.57, 3.17)","1.2%","1.3%"
"chd",NA,"58 (1.4%)","141 (3.5%)","3.28 (1.13, 7.81)","0.0%","0.0%"
"cva",NA,"17 (0.4%)","26 (0.6%)","0.00 (0.00, 39.54)","0.0%","0.0%"
"ckd",NA,"13 (0.3%)","9 (0.2%)","0.00 (0.00, 174.34)","0.0%","0.0%"
"dm_biomarker0",NA,"944 (23.4%)","1139 (28.3%)","2.51 (2.15, 2.93)","0.0%","0.0%"
"htn",NA,"581 (14.4%)","575 (14.3%)","2.97 (2.40, 3.67)","0.0%","0.0%"
"educcat","1","18.9%","10.0%","< 0.001","0.0%","0.0%"
"","2","62.4%","68.1%","","",""
"","3","18.6%","21.9%","","",""
"employocccat","1","83.7%","0.6%","< 0.001","0.1%","1.8%"
"","2","0.6%","8.0%","","",""
"","3","0.5%","3.7%","","",""
"","4","10.6%","63.9%","","",""
"","5","4.6%","23.8%","","",""
"multimorbiditycat","0","78.4%","74.6%","< 0.001","0.0%","0.0%"
"","1","16.0%","18.6%","","",""
"","2","5.5%","6.8%","","",""
"bmicat","0","35.8%","51.7%","< 0.001","5.1%","7.7%"
"","1","36.9%","36.7%","","",""
"","2","27.3%","11.6%","","",""
